04 DEC 2022,Yichang Marathon,Yichang (CHN),CHN,E,Road Running,World Athletics Label Road Races � Label
13 NOV 2022,Yangzhou Jianzhen International Half Marathon,Yangzhou (CHN),CHN,E,Road Running,World Athletics Label Road Races � Elite
26 NOV 2022,Xichang Qionghai Lake Wetland International Marathon,Xichang (CHN),CHN,A,Road Running,World Athletics Label Road Races � Elite
20 NOV 2022,XL Cross Internacional de Italica,Sevilla (ESP),ESP,GL,Cross Country,World Athletics Cross Country Tour � Gold
28 JAN 2023,United Manchester World Indoor Tour,"Sportcity Indoor Track, Manchester (GBR)",GBR,B,Stadium Indoor,World Athletics Indoor Tour � Silver
15 JAN 2023,USATF National 35km Race Walk Ch.,"Santee, CA (USA)",USA,B,Race Walking,"World Athletics Race Walking Tour � Bronze, National Race Walking Championships"
04 DEC 2022,The 16th Nanning International Marathon,Nanning (CHN),CHN,E,Road Running,World Athletics Label Road Races � Label
18 DEC 2022,Tata Steel Kolkata 25K December,Kolkata (IND),IND,B,Road Running,World Athletics Label Road Races � Elite
18 DEC 2022,Taipei Marathon,Taipei City (TPE),TPE,A,Road Running,World Athletics Label Road Races � Elite
04 DEC 2022,Standard Chartered Singapore Marathon,Singapore (SGP),SGP,E,Road Running,World Athletics Label Road Races � Label
20 NOV 2022,Standard Chartered Hong Kong Marathon,Hong Kong (HKG),HKG,A,Road Running,World Athletics Label Road Races � Elite
22 JAN 2023,South American Cross Country Championships,Po�os de Caldas (BRA),BRA,GL,Cross Country,
13 NOV 2022,Sleemon Shaoxing Marathon,Shaoxing (CHN),CHN,A,Road Running,World Athletics Label Road Races � Elite
18 DEC 2022,Shenzhen Marathon,Shenzhen (CHN),CHN,E,Road Running,World Athletics Label Road Races � Elite
27 NOV 2022,Shanghai International Marathon,Shanghai (CHN),CHN,E,Road Running,World Athletics Label Road Races � Elite Platinum
04 DEC 2022,SCO Kunming Marathon,Kunming (CHN),CHN,E,Road Running,World Athletics Label Road Races � Elite
21 JAN 2023,Potts Classic,"Hawkes Bay Sports Park, Hastings (NZL)",NZL,D,Stadium Outdoor,World Athletics Continental Tour � Challenger
